Auto memory	Notes Claude Code writes itself (user, feedback, project, reference types), stored per-project with a MEMORY.md index. Like CLAUDE.md: context, not enforced configuration.
Agent	A model running in a loop where it decides the next action (often calling tools) until a task is done — contrast with a workflow, where your code decides the steps.
Agent SDK	"Claude Code as a library" (Python/TypeScript): the same tools, agent loop, and context management as Claude Code, running in your process via query(). Siblings: Client SDK (you build the loop), CLI (terminal harness), Managed Agents (Anthropic hosts agent + sandbox). Other languages: CLI subprocess with JSON output.
Agentic system	Anthropic's umbrella for systems combining LLMs and tools. Two flavors by control-flow ownership: workflows ("orchestrated through predefined code paths") and agents ("LLMs dynamically direct their own processes and tool usage"). Golden rule: simplest solution possible, complexity only when demonstrably needed.
Agentic loop	The repeating cycle: send context → model responds (possibly with tool calls) → execute tools → append results → send again. Ends when the model stops calling tools or a limit is hit.
Batch API	An API mode for submitting many requests together: flat 50% of standard prices (stacks with caching), most done <1h with a 24h expiry, 100K requests / 256 MB per batch, results as one unordered .jsonl (join by custom_id), no streaming, failures isolated and unbilled. For evals, moderation, and bulk work — never latency-bound products.
Cache breakpoint	A marker (max 4 per request; automatic caching consumes one) placed on the last block that stays identical across requests. Invalidation hierarchy: tools → system → messages — a change at any level kills that level and everything after it (tool-definition changes kill the whole cache; tool_choice changes touch messages only). Writes: 1.25× (5-min TTL) or 2× (1-hour); reads: 0.1×.
CLAUDE.md	A markdown file Claude Code reads automatically for project instructions — commands, conventions, context. Lives at project root (and user level for global preferences).
Compaction	Summarizing an older conversation to free context window space while keeping the gist. Claude Code does this automatically near the window limit.
Content block	An item in a message's content list. A reply can contain multiple blocks of different types — e.g. a text block, then a tool_use block.
Confused deputy	The MCP catalog's namesake attack: a privileged intermediary (e.g., an OAuth proxy with a static client ID plus a lingering consent cookie) persuaded to act on an attacker's request without fresh consent. Mitigation: per-client consent registries, exact redirect matching, state set only after approval.
Token passthrough	The explicitly forbidden MCP anti-pattern: a server forwarding client-issued tokens downstream without validating they were issued to the server. Breaks audit trails, circumvents controls, and enables lateral movement. Servers MUST hold their own tokens.
Context window	The maximum tokens (input + output) a model can consider in one request. Everything — system prompt, history, tool results, documents — competes for it.
Escalation	Design pattern for handing control from the model to a human or stricter process when confidence is low, stakes are high, or policy requires it.
Few-shot example	Input/output examples placed in the prompt to show the model the pattern you want. Costs tokens; buys consistency.
Gate (workflow)	A programmatic check between chained steps ensuring intermediate output is on spec before continuing — structured outputs plus semantic rules. What separates a chain from a hopeful sequence.
Sectioning vs voting	Parallelization's two flavors: sectioning splits independent subtasks that run concurrently and merge; voting runs the same task multiple times with a threshold deciding (a precision/recall business decision).
LLM-as-judge	Using a model to grade outputs against a rubric (Likert/binary/ordinal). Official best practices: judge with a different model than the generator; a single call scoring 0.0–1.0 + pass/fail proved most consistent; humans still review what automation misses (e.g., source-selection bias).
Idempotency key	A client-generated key making an operation safe to retry: the server charges/acts at most once per key. The structural fix for "timed out — did the side effect fire?" — turns uncertain retries into safe ones.
Hook (Claude Code)	A user-defined shell command that runs automatically at a lifecycle point (e.g. before a tool runs) to enforce policy deterministically.
max_tokens	Required request field capping the response length. An undersized cap truncates output — one root of "incomplete-looking" answers.
MCP — Model Context Protocol	An open protocol for connecting models to external tools, resources, and prompt templates via servers. Standardizes what tool integrations look like.
Messages array	The messages field of an API request: the full conversation as alternating user/assistant turns. Because the API is stateless, this array is the conversation.
Orchestrator–workers	Agentic pattern: a lead model splits the task, delegates pieces to worker instances, and synthesizes results. Scales parallelizable work; adds coordination overhead.
Prefill (response prefilling)	Legacy technique: end messages with a partial assistant turn so generation continues from it — used to skip preambles or force formats. Unsupported on Claude 4.6 and later models (returns a 400 error; requests must end with a user message). Modern replacements: system-prompt phrasing and structured outputs.
Prompt chaining	Decomposing a task into a fixed sequence of model calls, each with a focused prompt, passing output forward. Cheaper and more debuggable than one mega-prompt.
Provenance	Traceability of every output claim to its source — in multi-agent systems, often a dedicated citation stage attributing claims, and artifacts + lightweight references preserving where findings came from. The exam groups it with multi-agent workflows.
Rainbow deployment	Releasing agent-system versions by gradually shifting traffic while old and new versions run simultaneously — because long-running, stateful agents mid-task can't all be swapped at once.
Permission rule	Claude Code's guarantee layer: Tool(specifier) entries in allow/ask/deny lists, evaluated deny→ask→allow with first match winning. Lists merge across scopes; deny/ask from committed files apply without trust gating, allow needs trust. Stronger than CLAUDE.md, weaker than PreToolUse hooks (exit 2 blocks before rules run).
Progressive summarization	Context strategy of repeatedly compressing older history into a compact running summary, then working from summary + recent turns.
